,title,content,label
10,Quercus arizonica,Quercus arizonica là một loài thực vật có hoa trong họ Cử . Loài này được Sarg. miêu tả khoa học đầu tiên năm 1895. [2],0
11,Eucera paraclypeata,Eucera paraclypeata là một loài Hymenoptera trong họ Apidae . Loài này được Sitdikov mô tả khoa học năm 1988. [1],0
12,Demonax dohertii,Demonax dohertii là một loài bọ cánh cứng trong họ Cerambycidae . [1],0
13,2553 Viljev,2553 Viljev là một tiểu hành tinh vành đai chính với chu kỳ quỹ đạo là 1979.9393644 ngày (5.42 năm). [1],0
14,Asplenium loriforme,Asplenium loriforme là một loài dương xỉ trong họ Aspleniaceae . Loài này được Hook. mô tả khoa học đầu tiên năm 1854. [1] Danh pháp khoa học của loài này chưa được làm sáng tỏ.,0
15,Chromis nigroanalis,Chromis nigroanalis là một loài cá biển thuộc chi Chromis trong họ Cá thia . Loài này được mô tả lần đầu tiên vào năm 1988 .,0
16,Fontevivo,"Fontevivo là một đô thị ở tỉnh Parma ở vùng Emilia-Romagna của Italia , tọa lạc cách khoảng 100 km về phía tây bắc của Bologna và khoảng 14 km về phía tây bắc của Parma . Đến thời điểm ngày 31 tháng 12 năm 2004 , đô thị này có dân số 5.337 và diện tích là 25,9 km². [1]",1
17,Ustyansky (huyện),"Huyện Ustyansky ( tiếng Nga : ? райо́н ) là một huyện hành chính [1] tự quản [2] ( raion ), của Tỉnh Arkhangelsk , Nga . Huyện có diện tích 10522 km² , dân số thời điểm ngày 1 tháng 1 năm 2000 là 42000 người. Trung tâm của huyện đóng ở Oktyabr'skyy . [5]",1
18,Exocentrus neopomerianus,Exocentrus neopomerianus là một loài bọ cánh cứng trong họ Cerambycidae . [1],0
19,Seine-et-Marne,"Seine-et-Marne là một tỉnh của Pháp , thuộc vùng hành chính Île-de-France , tỉnh lỵ Melun , bao gồm 5 quận với các quận lỵ còn lại là: Fontainebleau , Meaux , Provins , Torcy .",1
20,Samsung S8000,"Samsung Jet (còn được gọi là Samsung S8000 ), là điện thoại cảm ứng phát hành vào tháng 6 năm 2009 bởi Samsung . [1] [2] [3] Nó có vi xử lý 800 MHz và trình duyệt Web mới gọi là Dolfin, nó sẽ có sẵn trên điện thoại Samsung vào tương lai. [4]",2
21,Asmate kurilata,Asmate kurilata là một loài bướm đêm trong họ Geometridae . [1],0
22,Erica barnettiana,Erica barnettiana là một loài thực vật có hoa trong họ Thạch nam . Loài này được Dorr & E.G.H.Oliv. mô tả khoa học đầu tiên năm 1999. [1],0
23,Poecilostachys,Poecilostachys là một chi thực vật có hoa trong họ Hòa thảo (Poaceae). [1],0
24,Trychosis suigensis,Trychosis suigensis là một loài tò vò trong họ Ichneumonidae . [1],0
25,Leionema phylicifolium,Leionema phylicifolium là một loài thực vật có hoa trong họ Cửu lý hương . Loài này được (F. Muell.) Paul G. Wilson mô tả khoa học đầu tiên năm 1998. [1],0
26,Trần Quốc Tảng,"Hưng Nhượng vương Trần Quốc Tảng ( chữ Hán : 興讓王陳國顙, 1252 - 1313) một tông thất hoàng gia, tướng lĩnh quân sự Đại Việt thời Trần . Ông là con trai thứ hai của Hưng Đạo đại vương Trần Quốc Tuấn và Thiên Thành Trưởng công chúa . Ông đã cùng cha chỉ huy quân dân đánh quân Nguyên xâm lược vào thời Trần Nhân Tông .",1
27,Itambacuri,"Itambacuri là một đô thị thuộc bang Minas Gerais , Brasil . Đô thị này có diện tích 1418,619 km², dân số năm 2007 là 23338 người, mật độ 16,7 người/km². [1] [2]",1
28,Rot (toán tử),"Trong giải tích vector , toán tử rot (vài nơi còn gọi là curl) là một toán tử vector mô tả độ xoáy của một trường vector . Tại bất kì điểm nào trên trường vector, rot được biểu thị bằng một vector . Các thuộc tính của vector này (độ dài và hướng) nói lên bản chất của độ xoáy tại điểm đó.",0
29,"Chatnahalli, Honnali","Chatnahalli là một làng thuộc tehsil Honnali , huyện Davanagere , bang Karnataka , Ấn Độ . [1] [2]",1
30,Trogoderma caboverdiana,Trogoderma caboverdiana là một loài bọ cánh cứng trong họ Dermestidae . Loài này được Kalík miêu tả khoa học năm 1986. [1],0
31,Oppenberg,"Oppenberg là một xã cũ thuộc huyện Liezen bang Steiermark , nước Áo . Đô thị Oppenberg có diện tích 92,81 km² , dân số thời điểm cuối năm 2008 là 270 người .",1
32,Elaeocarpus rigidus,Elaeocarpus rigidus là một loài thực vật có hoa trong họ Côm . Loài này được Ridl. mô tả khoa học đầu tiên năm 1910. [1],0
33,Priuralsky (huyện),"Huyện Priuralsky ( tiếng Nga : ? райо́н ) là một huyện hành chính [1] tự quản [2] ( raion ), của Yamal-Nenets , Nga . Huyện có diện tích 65561 km² , dân số thời điểm ngày 1 tháng 1 năm 2000 là 7200 người. Trung tâm của huyện đóng ở Aksarka . [5]",1
34,Hypocalymma connatum,Hypocalymma connatum là một loài thực vật có hoa trong Họ Đào kim nương . Loài này được Strid & Keighery mô tả khoa học đầu tiên năm 2002. [1],0
35,Pleopeltis damunensis,Pleopeltis damunensis là một loài dương xỉ trong họ Polypodiaceae . Loài này được Alderw. mô tả khoa học đầu tiên năm 1909. [1] Danh pháp khoa học của loài này chưa được làm sáng tỏ.,0
36,Doraemon: Nobita và chuyến thám hiểm Nam Cực Kachi Kochi,"Doraemon: Nobita và chuyến thám hiểm Nam Cực Kachi Kochi ( Nhật : ドラえもん　のび太の南極カチコチ大冒険 , Hepburn : Doraemon Nobita no Nankyoku Kachikochi Daibōken ? , Nobita no Nam Cực Kachikochi Đại mạo hiểm ) là phim hoạt hình khoa học viễn tưởng thứ 37 trong series Phim điện ảnh Doraemon . Phim thực hiện bởi đạo diễn Takahashi Atsushi và được công chiếu vào ngày 4 tháng 3, 2017 tại Nhật Bản . [2] Câu chuyện kể về chuyến phiêu lưu của nhóm bạn ở một trăm ngàn năm trước tại Nam Cực để giúp những người bạn từ hành tinh Hyoga Hyoga tiêu diệt Blizzaga - kẻ đã đóng băng hành tinh của họ. Chủ đề chính là ""Tình bạn này, 100.000 (mười vạn) năm sau vẫn sẽ không đóng băng"" ( Nhật : 「その友情は、10万年先まで凍らない。」 , Hepburn : Sono yūjō wa, jū man nen saki made kōranai ? ) . Ca khúc mở đầu phim là "" Yume wo Kanaete Doraemon "" ( 夢をかなえてドラえもん, dịch nghĩa Có Doraemon, giấc mơ thành hiện thực , "" Yume wo Kanaete Doraemon "" ? ) và ca khúc kết thúc là Boku no kokoro o tsukutte yo ( 僕の心をつくってよ, dịch nghĩa Làm theo tim mình , Boku no kokoro o tsukutte yo ? ) do Hirai Ken trình bày. Phim khởi chiếu tại Việt Nam từ ngày 26 tháng 5 , 2017 với hai định dạng: phụ đề và lồng tiếng Việt. Phần lồng tiếng Việt được thực hiện bởi đội ngũ diễn viên lồng tiếng kênh HTV3 (Công ty Cổ phần Truyền thông Purpose).",3
37,Scutellaria woodii,Scutellaria woodii là một loài thực vật có hoa trong họ Hoa môi . Loài này được J.M.Mercado mô tả khoa học đầu tiên năm 2007. [1],0
38,Dinera fera,Dinera fera là một loài ruồi trong họ Tachinidae . [1] [2],0
39,Somen,"Sōmen ( 素 麺 , âm Hán Việt : tố miến ? ) là một loại mì của Nhật Bản . Đây là một loại mì có truyền thống lâu đời, và được cho là có nguồn gốc từ Trung Quốc, du nhập vào Nhật khoảng 1200 năm trước. Việc sản xuất loại mì này được xem là một nghệ thuật ở Nhật Bản. Thị trấn Sakurai của Nhật có một nhà máy sản xuất mì Somen trong suốt 290 năm qua. [1] Sōmen dùng trong nước lèo nóng gọi là ""nyumen"" và thường ăn vào mùa đông như mỳ soba hay udon .",3
40,Động mạch bàng quang dưới,Động mạch bàng quang dưới hay động mạch túi dưới là một động mạch trong khung chậu cung cấp máu cho phần dưới của bàng quang .,0
41,"Mihăești, Vâlcea","Mihăești là một xã thuộc hạt Vâlcea , România . Dân số thời điểm năm 2002 là 6376 người. [1]",1
42,Cyanea platyphylla,Cyanea platyphylla là loài thực vật có hoa trong họ Hoa chuông . Loài này được (A.Gray) Hillebr. mô tả khoa học đầu tiên năm 1888. [1],0
43,Valci Júnior,"Valci Teixeira Júnior , thường được biết với tên Valci Júnior , là một cầu thủ bóng đá người Brasil .",3
44,"Quận Rankin, Mississippi","Quận Rankin là một quận thuộc tiểu bang Mississippi , Hoa Kỳ .\nQuận này được đặt tên theo Christopher Rankin . Theo điều tra dân số của Cục điều tra dân số Hoa Kỳ năm 2000, quận có dân số 115.327 người. Quận lỵ đóng ở Brandon 6 .",1
45,Centipede,""" Centipede "" là đĩa đơn đầu tay của ca sĩ người Mỹ, Rebbie Jackson từ album đầu tay của cô Centipede . Bài hát do Michael Jackson sáng tác và sản xuất. Nó đạt vị thứ 4 trên bảng xếp hạng Billboard R&B và thứ 24 trên Billboard Hot 100.",3
46,Xoanodera amoena,Xoanodera amoena là một loài bọ cánh cứng trong họ Cerambycidae . [1],0
47,Peltophorum acutifolium,Peltophorum acutifolium là một loài thực vật có hoa trong họ Đậu . Loài này được (J. R. Johnston) J. R. Johnston miêu tả khoa học đầu tiên năm 1909. [1],0
48,Centris machadoi,Centris machadoi là một loài Hymenoptera trong họ Apidae . Loài này được Azevedo & Silveira mô tả khoa học năm 2005. [1],0
49,Khatangsky (huyện),"Huyện Khatangsky ( tiếng Nga : ? райо́н ) là một huyện hành chính [1] tự quản [2] ( raion ), của Vùng Krasnoyarsk , Nga . Huyện có diện tích 90756 km² , dân số thời điểm ngày 1 tháng 1 năm 2000 là 3100 người. Trung tâm của huyện đóng ở Khatanga . [5]",1
50,Ipiranga do Sul,"Ipiranga do Sul là một đô thị thuộc bang Rio Grande do Sul , Brasil . Đô thị này có diện tích 159,23 km², dân số năm 2007 là 1983 người, mật độ 12,45 người/km². [1] [2]",1
51,Lindsaea truncata,Lindsaea truncata là một loài dương xỉ trong họ Lindsaeaceae . Loài này được C.Presl mô tả khoa học đầu tiên năm 1836. [1] Danh pháp khoa học của loài này chưa được làm sáng tỏ.,0
52,Helymaeus testaceiventris,Helymaeus testaceiventris là một loài bọ cánh cứng trong họ Cerambycidae . [1],0
53,Suezichthys russelli,Suezichthys russelli là một loài cá biển thuộc chi Suezichthys trong họ Cá bàng chài . Loài này được mô tả lần đầu tiên vào năm 1981 .,0
54,Meiogyne monogyna,Meiogyne monogyna là loài thực vật có hoa thuộc họ Na . Loài này được (Merr.) Tien Ban mô tả khoa học đầu tiên năm 1974. [1],0
55,Onitis autumnalis,Onitis autumnalis là một loài bọ cánh cứng trong họ Bọ hung (Scarabaeidae). [1] [2],0
56,275 TCN,275 TCN là một năm trong lịch La Mã .,1
57,Giải vô địch cờ tướng Việt Nam,Giải vô địch cờ tướng quốc gia (tên gọi khác là giải vô địch cờ tướng A1 toàn quốc) là giải đấu cờ tướng do Liên đoàn cờ tướng Việt Nam tổ chức từ năm 1992 (giải nam) và 1994 (giải nữ) cho đến nay. Bên cạnh xác định nhà vô địch thì những kỳ thủ có thành tích tốt sẽ được xét phong cấp theo tiêu chuẩn phong cấp cờ tướng quốc gia hiện hành.,3
58,Moxisylyte,"Moxisylyte , còn được gọi là thymoxamine , là một loại thuốc được sử dụng trong tiết niệu để điều trị rối loạn cương dương . [1] Nó là một chất đối vận α 1 -adrenergic . [2] Tại Vương quốc Anh, Moxisylte được bán trên thị trường với tên Opilon (Archimedes Pharma UK Ltd) và được sử dụng để điều trị ngắn hạn hội chứng Reynaud nguyên phát. Đây là tình trạng ngón tay và ngón chân bị đổi màu và được kích hoạt bởi phản ứng với cảm lạnh, hoặc đau khổ về cảm xúc. Viên Opilon giúp bằng cách cải thiện lưu thông máu đến các chi. [3] [4]",0
59,Oberea pallida,Oberea pallida là một loài bọ cánh cứng trong họ Cerambycidae . [1],0
60,Masdevallia chaucana,Masdevallia chaucana là một loài thực vật có hoa trong họ Lan . Loài này được Luer & Hirtz mô tả khoa học đầu tiên năm 2005. [1],0
61,Astragalus breviscapus,Astragalus breviscapus là một loài thực vật có hoa trong họ Đậu . Loài này được B.Fedtsch. miêu tả khoa học đầu tiên. [1],0
62,"Xã Pleasant Ridge, Quận Corson, Nam Dakota","Xã Pleasant Ridge ( tiếng Anh : Pleasant Ridge Township ) là một xã thuộc quận Corson , tiểu bang Nam Dakota , Hoa Kỳ . Năm 2010, dân số của xã này là 32 người. [1]",1
63,Pheneps auariensis,"Pheneps auariensis là một loài bọ cánh cứng trong họ Psephenidae . Loài này được Fernandez, Fonseca & Spangler miêu tả khoa học đầu tiên năm 2001. [1]",0
64,"Yaylabaşı, Maçka","Yaylabaşı là một xã thuộc huyện Maçka , tỉnh Trabzon , Thổ Nhĩ Kỳ . Dân số thời điểm năm 2011 là 287 người. [1]",1
65,Họ Cá chình họng xẻ,"Họ Cá chình họng xẻ (tên tiếng Anh: cutthroat eels) hay họ Cá chình mang liền (tên khoa học: Synaphobranchidae ) là một họ cá chình được tìm thấy được tìm thấy ở vùng biển ôn đới và nhiệt đới tại Đại Tây Dương, Ấn Độ Dương và Thái Bình Dương. [1] [2]",0
66,Primula urticifolia,Primula urticifolia là một loài thực vật có hoa trong họ Anh thảo . Loài này được Maxim. miêu tả khoa học đầu tiên năm 1881. [1],0
67,Zarine Khan,"Zarine Khan ( 14 tháng 5 năm 1987 là nữ diễn viên, người mẫu Ấn Độ . [3] Cô thường xuất hiện trong các bộ phim của Ấn Độ , chủ yếu là phim tiếng Hindi . Ngoài ra cô còn tham gia diễn xuất phim Tamil và Punjabi [4] [5] [6] [7]",3
68,Phryxus caicus,"Phryxus là một chi bướm đêm thuộc họ Sphingidae , chỉ gồm một loài Phryxus caicus . Nó được tìm thấy ở Tân nhiệt đới , dù loài này đã được ghi nhận từ miền nam Florida và South Carolina .",0
69,Nguyễn Cường,"Nguyễn Cường (sinh năm 1943), là một nhạc sĩ của Việt Nam . Ông là một người nặng lòng với vùng đất Tây Nguyên, có nhiều ca khúc viết về Tây Nguyên , tuy nhiên ông vốn là một chàng trai gốc Hà Nội .",3
70,Optaleus paleolatus,Optaleus paleolatus là một loài bọ cánh cứng trong họ Elateridae . Loài này được Candèze miêu tả khoa học năm 1857. [1],0
71,"Kargalı, Viranşehir","Kargalı là một xã thuộc huyện Viranşehir , tỉnh Şanlıurfa , Thổ Nhĩ Kỳ . Dân số thời điểm năm 2011 là 318 người. [1]",1
72,Holoplatys desertina,Holoplatys desertina là một loài nhện trong họ Salticidae . Loài này được phát hiện ở Tây Úc và Nam Úc .,0
73,Gemmabryum crassum,Gemmabryum crassum là một loài Rêu trong họ Bryaceae . Loài này được (Hook. f. & Wilson) J.R. Spence & H.P. Ramsay mô tả khoa học đầu tiên năm 2005. [1],0
74,Hiệp hội Công nghiệp ghi âm Úc,"Hiệp hội Công nghiệp ghi âm Úc (tiếng Anh: Australian Recording Industry Association , viết tắt ARIA ) là một tổ chức đại diện cho ngành công nghiệp ghi âm Úc được thành lập bởi sáu công ty ghi âm lớn khác là EMI , Festival Records , CBS , RCA Records , WEA và Universal Music . Hiệp hội này cung cấp chứng nhận doanh số đĩa thu âm và quản lý bảng xếp hạng ARIA Charts .",3
75,"Barış, Nurhak","Barış là một thị trấn thuộc huyện Nurhak , tỉnh Kahramanmaraş , Thổ Nhĩ Kỳ . Dân số thời điểm năm 2010 là 2.621 người. [1]",1
76,Rudielmis concolor,Rudielmis concolor là một loài bọ cánh cứng trong họ Elmidae . Loài này được Jäch & Boukal miêu tả khoa học năm 1995. [1],0
77,Sybra fuscolateralis,Sybra fuscolateralis là một loài bọ cánh cứng trong họ Cerambycidae . [1],0
78,Chamaegeron bungei,Chamaegeron bungei là một loài thực vật có hoa trong họ Cúc . Loài này được (Boiss.) Botsch. mô tả khoa học đầu tiên năm 1954. [1],0
79,Benzingia caudata,Benzingia caudata là một loài thực vật có hoa trong họ Lan . Loài này được (Ackerman) Dressler mô tả khoa học đầu tiên năm 2010. [1],0
80,Nghi Xuân (xã),"Nghi Xuân là một xã thuộc huyện Nghi Lộc , tỉnh Nghệ An , Việt Nam .",1
81,Xouaxange,"Xouaxange là một commune trong tỉnh Moselle , vùng Grand Est đông bắc nước Pháp .",1
82,Aconitum pendulum,Aconitum pendulum là một loài thực vật có hoa trong họ Mao lương . Loài này được N.Busch mô tả khoa học đầu tiên năm 1905. [1],0
83,Helius patens,Helius patens là một loài ruồi trong họ Limoniidae . [1] Chúng phân bố ở miền Ấn Độ - Mã Lai .,0
84,Stenophylax libana,Stenophylax libana là một loài Trichoptera trong họ Limnephilidae . Chúng phân bố ở miền Cổ bắc .,0
85,Ceromya mallochiana,Ceromya mallochiana là một loài ruồi trong họ Tachinidae . [1] [2],0
86,Khogyani (huyện),"Khogyani là một huyện thuộc tỉnh Nangarhar , Afghanistan . Dân số thời điểm năm 1999 là 106,609 người. [1]",1
87,Marilia spinosula,Marilia spinosula là một loài Trichoptera trong họ Odontoceridae . Chúng phân bố ở vùng Tân nhiệt đới .,0
88,Aplastus corymbitoides,Aplastus corymbitoides là một loài bọ cánh cứng trong họ Cebrionidae . Loài này được Horn miêu tả khoa học năm 1874. [1],0
89,Brewcaria,Brewcaria là một chi thực vật có hoa trong họ Bromeliaceae . [1],0
90,Dodecadenia grandiflora,Dodecadenia grandiflora là loài thực vật có hoa trong họ Nguyệt quế . Loài này được Nees miêu tả khoa học đầu tiên năm 1831. [1],0
91,Fissidens amblyothallioides,Fissidens amblyothallioides là một loài Rêu trong họ Fissidentaceae . Loài này được Broth. & Watts mô tả khoa học đầu tiên năm 1915. [1],0
92,Carantilly,Carantilly là một xã thuộc tỉnh Manche trong vùng Normandie tây bắc nước Pháp . Xã này nằm ở khu vực có độ cao trung bình 92 mét trên mực nước biển .,1
93,Người Mỹ trầm lặng,"Người Mỹ trầm lặng (tựa tiếng Anh: The Quiet American ) là một bộ phim chiến tranh - tình cảm - tâm lý Mỹ của đạo diễn Phillip Noyce thực hiện. Phim công chiếu vào năm 2002 , chuyển thể từ tiểu thuyết cùng tên của tác giả người Anh Graham Greene . Bộ phim có sự tham gia của các ngôi sao như Michael Caine , Brendan Fraser và Đỗ Thị Hải Yến . [1]",3
94,Eleutherodactylus skydmainos,"Eleutherodactylus skydmainos là một loài ếch trong họ Leptodactylidae .\nNó được tìm thấy ở Brasil , Peru , và có thể cả Bolivia .\nMôi trường sống tự nhiên của nó là các khu rừng đất thấp ẩm nhiệt đới và cận nhiệt đới.",0
95,Dysoxylum pachypodum,Dysoxylum pachypodum là một loài thực vật có hoa trong họ Meliaceae . Loài này được (Baill.) C.DC. mô tả khoa học đầu tiên năm 1878. [1],0
96,Camerata Picena,"Camerata Picena là một đô thị ở tỉnh Ancona trong vùng Marche , nằm cách 14 km về phía tây nam của Ancona . Tại thời điểm ngày 31 tháng 12 năm 2004 , đô thị này có dân số 1.802 và diện tích là 11,6 km². [1]",1
97,Agelasticus thilius,Agelasticus thilius là một loài chim trong họ Icteridae . [2],0
98,Oritoniscus trajani,Oritoniscus trajani là một loài chân đều trong họ Trichoniscidae . Loài này được Vandel miêu tả khoa học năm 1933. [1],0
99,Leucomphalos,Leucomphalos là một chi thực vật có hoa thuộc họ Fabaceae . Nó thuộc phân họ Faboideae .,0
100,Ischyrolepis schoenoides,Ischyrolepis schoenoides là một loài thực vật có hoa trong họ Restionaceae . Loài này được (Kunth) H.P.Linder mô tả khoa học đầu tiên năm 1985. [1],0
101,Fissidens steerei,Fissidens steerei là một loài Rêu trong họ Fissidentaceae . Loài này được Grout mô tả khoa học đầu tiên năm 1943. [1],0
102,Neoelmis ampla,Neoelmis ampla là một loài bọ cánh cứng trong họ Elmidae . Loài này được Hinton miêu tả khoa học năm 1940. [1],0
103,Luceria africana,Luceria africana là một loài bướm đêm trong họ Erebidae . [1] [2],0
104,Neolitsea koidzumii,Neolitsea koidzumii là loài thực vật có hoa trong họ Nguyệt quế . Loài này được (Koidz.) Kamik. miêu tả khoa học đầu tiên năm 1935. [1],0
105,Peplometus,Peplometus là một chi nhện trong họ Salticidae . [1],0
106,Neoleptoneta chisosea,Neoleptoneta chisosea là một loài nhện trong họ Leptonetidae . [1],0
107,Tabloid Junkie,""" Tabloid Junkie "" là ca khúc nhạc pop do nghệ sĩ thu âm người Mỹ Michael Jackson trình bày. Bài hát xuất hiện dưới dạng track thứ 11 trong album phòng thu thứ chín của Jackson, mang tựa đề HIStory: Past, Present and Future, Book I , phát hành năm 1995 dưới dạng đĩa kép. Bài hát do Michael Jackson, Jimmy Jam (James Harris III) và Terry Lewis đồng sáng tác và sản xuất.",3
108,Nesanoplium dalensi,Nesanoplium dalensi là một loài bọ cánh cứng trong họ Cerambycidae . [1],0
109,Limnophila angustilineata,Limnophila angustilineata là một loài ruồi trong họ Limoniidae . [1] Chúng phân bố ở vùng Tân nhiệt đới .,0
110,Ươi,"Cây Ươi (tên gọi khác: đười ươi , lười ươi , an nam tử , cây thạch , ươi bay , bàng đại hải [2] , lù noi, sam rang, som vang, đại đông quả) có danh pháp khoa học: Scaphium macropodum (các danh pháp đồng nghĩa khác: Sterculia lychnophora, Caryophyllum macropodum, Scaphium lychnophorum, Firmiana lychnophora ). Loài này thuộc chi Ươi, họ phụ Trôm của họ Cẩm Quỳ. Hạt của nó (hạt lười ươi ) được sử dụng trong y học cổ truyền có tác dụng thanh nhiệt và cũng có thể dùng để trị chứng rối loại tiêu hóa hoặc làm mát cổ họng. Nó được thu thập là loại sản phẩm chính ngoài gỗ ở Lào , và có giá trị xuất khẩu sau cây cà phê ở nước này. [3]",0
111,Rudravathi,"Rudravathi là một thị xã panchayat của quận Erode thuộc bang Tamil Nadu , Ấn Độ .",1
112,Nephrotoma parva,Nephrotoma parva là một loài ruồi trong họ Ruồi hạc (Tipulidae). [1] Chúng phân bố ở miền Ấn Độ - Mã Lai .,0
113,Buchdorf,"Buchdorf là một đô thị ở huyện Donau-Ries trong bang Bayern nước Đức . Đô thị Buchdorf có diện tích 16,8 km² .",1
114,(48439) 1989 WR,"(48439) 1989 WR 2 là một tiểu hành tinh vành đai chính . Nó được phát hiện bởi Seiji Ueda và Hiroshi Kaneda ở Kushiro, Hokkaidō , Nhật Bản, ngày 20 tháng 11 năm 1989. [1]",0
115,Xenophysa junctimacula,Xenophysa junctimacula là một loài bướm đêm trong họ Noctuidae . [1] [2],0
116,Dryas oxyodonta,Dryas oxyodonta là loài thực vật có hoa trong họ Hoa hồng . Loài này được Juz. mô tả khoa học đầu tiên. [1],0
117,"Andy Lee (cầu thủ bóng đá, sinh năm 1982)","Andrew Lee (sinh ngày 18 tháng 8 năm 1982) là một cầu thủ bóng đá người Anh đã giải nghệ có 2 trận cho Bradford City từ năm 2002 đến năm 2003. [1] Anh kí hợp đồng với Aberystwyth Town năm 2003 và cũng thi đấu cho Wakefield & Emley . Anh sinh ra ở Bradford , cũng từng thi đấu cho Bradford Park Avenue và năm 2010 vô địch giải golf Yorkshire Matchplay. [2]",3
118,Parathesis rufa,Parathesis rufa là một loài thực vật có hoa trong họ Anh thảo . Loài này được Lundell mô tả khoa học đầu tiên năm 1963. [1],0
119,Calcicola,Calcicola là một chi thực vật có hoa trong họ Malpighiaceae . [1],0
120,Acacia armitii,Acacia armitii là một loài thực vật có hoa trong họ Đậu . Loài này được Maiden miêu tả khoa học đầu tiên. [1],0
121,Caarapó,"Caarapó là một đô thị thuộc bang Mato Grosso do Sul , Brasil . Đô thị này có diện tích 20891,71 km², dân số năm 2007 là 22705 người, mật độ 10,87 người/km². [1]",1
122,Lobocleta subcincta,Lobocleta subcincta là một loài bướm đêm trong họ Geometridae . [1],0
123,Tetraloniella distata,Tetraloniella distata là một loài Hymenoptera trong họ Apidae . Loài này được LaBerge mô tả khoa học năm 2001. [1],0
124,Orthopsyche ayapona,Orthopsyche ayapona là một loài Trichoptera trong họ Hydropsychidae . Chúng phân bố ở miền Australasia .,0
125,Dorika rosario,Dorika rosario là một loài bướm đêm trong họ Noctuidae . [1] [2],0
126,Ozarba hemipolia,Ozarba hemipolia là một loài bướm đêm trong họ Noctuidae . [1] [2],0
127,Smeringopus peregrinoides,Smeringopus peregrinoides là một loài nhện trong họ Pholcidae . Loài này được phát hiện ở Congo và Rwanda .,0
